surl,nombre,fecha,sitio
Running   http://www.auffahrtslauf.ch/,Auffahrtslauf St. Gallen,Thu 05.05.2016,"St. Gallen, Switzerland"
Running   http://www.zuerilaufcup.ch,"Flughafenlauf, Kloten",Thu 05.05.2016,"Kloten, Switzerland"
Running   http://www.zofingerstadtlauf.ch/,"Zofinger Stadtlauf, Zofingen",Sat 07.05.2016,"Zofingen, Switzerland"
Duathlon   http://www.intervallduathlon.ch/,Intervall Duathlon Zofingen,Sun 08.05.2016,"Zofingen, Switzerland"
"Running,Walking   http://www.defiduvignoble.ch/","Défi du vignoble, Cully",Wed 11.05.2016,"Cully, Switzerland"
Running   http://www.6weeks.ch,GO-IN 6 Weeks #4 Gettnau,Wed 11.05.2016,"Pfaffnau, Switzerland"
Cycling   http://www.cyclotour.ch,"Cyclotour du Leman, Lausanne",Sun 15.05.2016,"Lausanne, Switzerland"
Running   http://www.tourpaysdevaud.ch,"Tour du Pays de Vaud printanier #1, Nyon",Wed 18.05.2016,"Nyon, Switzerland"
Running   http://www.6weeks.ch,GO-IN 6 Weeks #5 Beinwil am See,Wed 18.05.2016,"Beinwil am See, Switzerland"
Others   http://www.coopgemeindeduell.ch,schweiz.bewegt Gemeinde Duell,Fri 20.05.2016 bis,"Bern, Switzerland"
Running   http://www.haslinightrun.ch,"Hasli Night Run, Niederhasli",Fri 20.05.2016,"Niederhasli, Switzerland"
Running   http://www.wake-up-and-run.ch/,"Wake up and run, Biel-Bienne/Nidau",Fri 20.05.2016,"Nidau, Switzerland"
Running   http://www.stralugano.ch,"Stralugano, Lugano",Sat 21.05.2016+,"Lugano, Switzerland"
"MTB,X-Hours   http://www.solidair.ch/","Solid'air, Nendaz",Sat 21.05.2016,"Aproz (Nendaz), Switzerland"
Running   http://www.sempacherseelauf.ch/,"Sempacherseelauf, Sursee",Sat 21.05.2016,"Sursee, Switzerland"
Running   http://www.3laenderlauf.org,"Dreiländer-Lauf, Basel",Sun 22.05.2016,"Basel, Switzerland"
Cycling   http://www.radmarathon.com,"Amadé Radmarathon, Radstadt (A)",Sun 22.05.2016,"Radstadt, Austria"
